"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
779;Skive;12-15;1735;2022-11-14
787;Thisted;12-15;1665;2022-11-14
791;Viborg;12-15;4072;2022-11-14
810;Brønderslev;12-15;1554;2022-11-14
813;Frederikshavn;12-15;2092;2022-11-14
820;Vesthimmerland;12-15;1352;2022-11-14
825;Læsø;12-15;34;2022-11-14
840;Rebild;12-15;1331;2022-11-14
846;Mariagerfjord;12-15;1688;2022-11-14
849;Jammerbugt;12-15;1492;2022-11-14
851;Aalborg;12-15;7331;2022-11-14
860;Hjørring;12-15;2423;2022-11-14
;;16-19;354;2022-11-14
011;;16-19;17;2022-11-14
019;;16-19;55;2022-11-14
101;København;16-19;16486;2022-11-14
147;Frederiksberg;16-19;2743;2022-11-14
151;Ballerup;16-19;1946;2022-11-14
153;Brøndby;16-19;1332;2022-11-14
155;Dragør;16-19;566;2022-11-14
157;Gentofte;16-19;3148;2022-11-14
159;Gladsaxe;16-19;2542;2022-11-14
161;Glostrup;16-19;790;2022-11-14
163;Herlev;16-19;1130;2022-11-14
165;Albertslund;16-19;1177;2022-11-14
167;Hvidovre;16-19;2065;2022-11-14
169;Høje Tåstrup;16-19;1983;2022-11-14
173;Lyngby-Taarbæk;16-19;2205;2022-11-14
175;Rødovre;16-19;1490;2022-11-14
183;Ishøj;16-19;956;2022-11-14
185;Tårnby;16-19;1627;2022-11-14
187;Vallensbæk;16-19;625;2022-11-14
190;Furesø;16-19;1707;2022-11-14
201;Allerød;16-19;1158;2022-11-14
210;Fredensborg;16-19;1644;2022-11-14
217;Helsingør;16-19;2482;2022-11-14
219;Hillerød;16-19;2384;2022-11-14
223;Hørsholm;16-19;1071;2022-11-14
230;Rudersdal;16-19;2453;2022-11-14
240;Egedal;16-19;1887;2022-11-14
250;Frederikssund;16-19;1787;2022-11-14
253;Greve;16-19;2094;2022-11-14
259;Køge;16-19;2581;2022-11-14
260;Halsnæs;16-19;1055;2022-11-14
265;Roskilde;16-19;3685;2022-11-14
269;Solrød;16-19;1098;2022-11-14
270;Gribskov;16-19;1478;2022-11-14
306;Odsherred;16-19;869;2022-11-14
316;Holbæk;16-19;2675;2022-11-14
320;Faxe;16-19;1309;2022-11-14
326;Kalundborg;16-19;1583;2022-11-14
329;Ringsted;16-19;1240;2022-11-14
330;Slagelse;16-19;2752;2022-11-14
336;Stevns;16-19;805;2022-11-14
340;Sorø;16-19;1078;2022-11-14
350;Lejre;16-19;1097;2022-11-14
360;Lolland;16-19;1196;2022-11-14
370;Næstved;16-19;3085;2022-11-14
376;Guldborgsund;16-19;1891;2022-11-14
390;Vordingborg;16-19;1471;2022-11-14
400;Bornholm;16-19;1207;2022-11-14
410;Middelfart;16-19;1417;2022-11-14
420;Assens;16-19;1388;2022-11-14
430;Faaborg-Midtfyn;16-19;1807;2022-11-14
440;Kerteminde;16-19;838;2022-11-14
450;Nyborg;16-19;1235;2022-11-14
461;Odense;16-19;6789;2022-11-14
479;Svendborg;16-19;2147;2022-11-14
480;Nordfyn;16-19;1049;2022-11-14
482;Langeland;16-19;302;2022-11-14
492;Ærø;16-19;164;2022-11-14
510;Haderslev;16-19;2068;2022-11-14
530;Billund;16-19;980;2022-11-14
540;Sønderborg;16-19;2785;2022-11-14
550;Tønder;16-19;1309;2022-11-14
561;Esbjerg;16-19;3994;2022-11-14
563;Fanø;16-19;112;2022-11-14
573;Varde;16-19;1691;2022-11-14
575;Vejen;16-19;1521;2022-11-14
580;Aabenraa;16-19;2322;2022-11-14
607;Fredericia;16-19;1829;2022-11-14
615;Horsens;16-19;3510;2022-11-14
621;Kolding;16-19;3516;2022-11-14
630;Vejle;16-19;4617;2022-11-14
657;Herning;16-19;3542;2022-11-14
661;Holstebro;16-19;2370;2022-11-14
665;Lemvig;16-19;726;2022-11-14
671;Struer;16-19;832;2022-11-14
706;Syddjurs;16-19;1473;2022-11-14
707;Norddjurs;16-19;1282;2022-11-14
710;Favrskov;16-19;2138;2022-11-14
727;Odder;16-19;922;2022-11-14
730;Randers;16-19;3710;2022-11-14
740;Silkeborg;16-19;4078;2022-11-14
741;Samsø;16-19;48;2022-11-14
746;Skanderborg;16-19;2728;2022-11-14
751;Århus;16-19;11129;2022-11-14
756;Ikast-Brande;16-19;1637;2022-11-14
760;Ringkøbing-Skjern;16-19;2350;2022-11-14
766;Hedensted;16-19;1903;2022-11-14
773;Morsø;16-19;761;2022-11-14
779;Skive;16-19;1710;2022-11-14
787;Thisted;16-19;1719;2022-11-14
791;Viborg;16-19;4081;2022-11-14
810;Brønderslev;16-19;1504;2022-11-14
813;Frederikshavn;16-19;2111;2022-11-14
820;Vesthimmerland;16-19;1375;2022-11-14
825;Læsø;16-19;41;2022-11-14
840;Rebild;16-19;1216;2022-11-14
846;Mariagerfjord;16-19;1660;2022-11-14
849;Jammerbugt;16-19;1518;2022-11-14
851;Aalborg;16-19;7645;2022-11-14
860;Hjørring;16-19;2533;2022-11-14
;;20-39;5914;2022-11-14
011;;20-39;1432;2022-11-14
012;;20-39;32;2022-11-14
019;;20-39;313;2022-11-14
101;København;20-39;187456;2022-11-14
147;Frederiksberg;20-39;24527;2022-11-14
151;Ballerup;20-39;8163;2022-11-14
153;Brøndby;20-39;6881;2022-11-14
