"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
615;Horsens;60-69;8;2022-11-14
621;Kolding;60-69;8;2022-11-14
630;Vejle;60-69;11;2022-11-14
657;Herning;60-69;10;2022-11-14
661;Holstebro;60-69;9;2022-11-14
706;Syddjurs;60-69;1;2022-11-14
707;Norddjurs;60-69;5;2022-11-14
710;Favrskov;60-69;1;2022-11-14
727;Odder;60-69;2;2022-11-14
730;Randers;60-69;5;2022-11-14
740;Silkeborg;60-69;14;2022-11-14
746;Skanderborg;60-69;2;2022-11-14
751;Århus;60-69;20;2022-11-14
756;Ikast-Brande;60-69;5;2022-11-14
760;Ringkøbing-Skjern;60-69;3;2022-11-14
766;Hedensted;60-69;5;2022-11-14
773;Morsø;60-69;1;2022-11-14
779;Skive;60-69;2;2022-11-14
791;Viborg;60-69;12;2022-11-14
810;Brønderslev;60-69;2;2022-11-14
813;Frederikshavn;60-69;3;2022-11-14
840;Rebild;60-69;1;2022-11-14
846;Mariagerfjord;60-69;9;2022-11-14
849;Jammerbugt;60-69;3;2022-11-14
851;Aalborg;60-69;15;2022-11-14
860;Hjørring;60-69;2;2022-11-14
101;København;70-79;22;2022-11-14
147;Frederiksberg;70-79;5;2022-11-14
151;Ballerup;70-79;3;2022-11-14
153;Brøndby;70-79;1;2022-11-14
155;Dragør;70-79;4;2022-11-14
157;Gentofte;70-79;5;2022-11-14
159;Gladsaxe;70-79;2;2022-11-14
161;Glostrup;70-79;2;2022-11-14
163;Herlev;70-79;1;2022-11-14
165;Albertslund;70-79;1;2022-11-14
167;Hvidovre;70-79;1;2022-11-14
169;Høje Tåstrup;70-79;1;2022-11-14
173;Lyngby-Taarbæk;70-79;5;2022-11-14
183;Ishøj;70-79;1;2022-11-14
185;Tårnby;70-79;2;2022-11-14
190;Furesø;70-79;1;2022-11-14
201;Allerød;70-79;2;2022-11-14
210;Fredensborg;70-79;3;2022-11-14
217;Helsingør;70-79;3;2022-11-14
219;Hillerød;70-79;2;2022-11-14
223;Hørsholm;70-79;3;2022-11-14
230;Rudersdal;70-79;3;2022-11-14
240;Egedal;70-79;1;2022-11-14
250;Frederikssund;70-79;4;2022-11-14
253;Greve;70-79;5;2022-11-14
259;Køge;70-79;11;2022-11-14
260;Halsnæs;70-79;2;2022-11-14
265;Roskilde;70-79;3;2022-11-14
269;Solrød;70-79;1;2022-11-14
270;Gribskov;70-79;1;2022-11-14
306;Odsherred;70-79;3;2022-11-14
316;Holbæk;70-79;3;2022-11-14
320;Faxe;70-79;2;2022-11-14
326;Kalundborg;70-79;4;2022-11-14
329;Ringsted;70-79;3;2022-11-14
330;Slagelse;70-79;2;2022-11-14
336;Stevns;70-79;3;2022-11-14
350;Lejre;70-79;2;2022-11-14
360;Lolland;70-79;2;2022-11-14
370;Næstved;70-79;5;2022-11-14
376;Guldborgsund;70-79;15;2022-11-14
390;Vordingborg;70-79;3;2022-11-14
400;Bornholm;70-79;2;2022-11-14
420;Assens;70-79;3;2022-11-14
440;Kerteminde;70-79;3;2022-11-14
450;Nyborg;70-79;4;2022-11-14
461;Odense;70-79;12;2022-11-14
479;Svendborg;70-79;5;2022-11-14
480;Nordfyn;70-79;2;2022-11-14
482;Langeland;70-79;2;2022-11-14
540;Sønderborg;70-79;4;2022-11-14
550;Tønder;70-79;3;2022-11-14
561;Esbjerg;70-79;7;2022-11-14
573;Varde;70-79;5;2022-11-14
575;Vejen;70-79;1;2022-11-14
580;Aabenraa;70-79;2;2022-11-14
615;Horsens;70-79;4;2022-11-14
621;Kolding;70-79;2;2022-11-14
630;Vejle;70-79;3;2022-11-14
657;Herning;70-79;2;2022-11-14
661;Holstebro;70-79;2;2022-11-14
665;Lemvig;70-79;1;2022-11-14
706;Syddjurs;70-79;2;2022-11-14
707;Norddjurs;70-79;3;2022-11-14
710;Favrskov;70-79;2;2022-11-14
727;Odder;70-79;3;2022-11-14
730;Randers;70-79;3;2022-11-14
740;Silkeborg;70-79;13;2022-11-14
746;Skanderborg;70-79;2;2022-11-14
751;Århus;70-79;12;2022-11-14
756;Ikast-Brande;70-79;3;2022-11-14
