"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
849;Jammerbugt;50-59;2962;2022-11-14
851;Aalborg;50-59;14360;2022-11-14
860;Hjørring;50-59;5176;2022-11-14
957;;50-59;1;2022-11-14
961;;50-59;1;2022-11-14
;;60-69;856;2022-11-14
010;;60-69;1;2022-11-14
011;;60-69;120;2022-11-14
012;;60-69;2;2022-11-14
019;;60-69;32;2022-11-14
101;København;60-69;18870;2022-11-14
147;Frederiksberg;60-69;3831;2022-11-14
151;Ballerup;60-69;2197;2022-11-14
153;Brøndby;60-69;1895;2022-11-14
155;Dragør;60-69;815;2022-11-14
157;Gentofte;60-69;3701;2022-11-14
159;Gladsaxe;60-69;3077;2022-11-14
161;Glostrup;60-69;1034;2022-11-14
163;Herlev;60-69;1496;2022-11-14
165;Albertslund;60-69;1154;2022-11-14
167;Hvidovre;60-69;2555;2022-11-14
169;Høje Tåstrup;60-69;2282;2022-11-14
173;Lyngby-Taarbæk;60-69;2658;2022-11-14
